Mots,Partie,Chapitre,Paragraphe,Phrase
vous,2,1,62,4
enlèveraient,2,1,62,4
jusqu'à,2,1,62,4
votre,2,1,62,4
chemise,2,1,62,4
à,2,1,62,4
la,2,1,62,4
corne,2,1,62,4
d'un,2,1,62,4
bois,2,1,62,4
Il,2,1,63,1
ne,2,1,63,1
tarissait,2,1,63,1
plus,2,1,63,1
D'ailleurs,2,1,63,2
M,2,1,63,2
Grégoire,2,1,63,2
ne,2,1,63,2
défendait,2,1,63,2
pas,2,1,63,2
la,2,1,63,2
Régie,2,1,63,2
de,2,1,63,2
Montsou,2,1,63,2
les,2,1,63,2
six,2,1,63,2
régisseurs,2,1,63,2
institués,2,1,63,2
par,2,1,63,2
le,2,1,63,2
traité,2,1,63,2
de,2,1,63,2
1760,2,1,63,2
qui,2,1,63,2
gouvernaient,2,1,63,2
despotiquement,2,1,63,2
la,2,1,63,2
Compagnie,2,1,63,2
et,2,1,63,2
dont,2,1,63,2
les,2,1,63,2
cinq,2,1,63,2
survivants,2,1,63,2
à,2,1,63,2
chaque,2,1,63,2
décès,2,1,63,2
choisissaient,2,1,63,2
le,2,1,63,2
nouveau,2,1,63,2
membre,2,1,63,2
parmi,2,1,63,2
les,2,1,63,2
actionnaires,2,1,63,2
puissants,2,1,63,2
et,2,1,63,2
riches,2,1,63,2
L'opinion,2,1,63,3
du,2,1,63,3
propriétaire,2,1,63,3
de,2,1,63,3
la,2,1,63,3
Piolaine,2,1,63,3
de,2,1,63,3
goûts,2,1,63,3
si,2,1,63,3
raisonnables,2,1,63,3
était,2,1,63,3
que,2,1,63,3
ces,2,1,63,3
messieurs,2,1,63,3
manquaient,2,1,63,3
parfois,2,1,63,3
de,2,1,63,3
mesure,2,1,63,3
dans,2,1,63,3
leur,2,1,63,3
amour,2,1,63,3
exagéré,2,1,63,3
de,2,1,63,3
l'argent,2,1,63,3
Mélanie,2,1,64,1
était,2,1,64,1
venue,2,1,64,1
desservir,2,1,64,1
la,2,1,64,1
table,2,1,64,1
Dehors,2,1,64,2
les,2,1,64,2
chiens,2,1,64,2
se,2,1,64,2
remirent,2,1,64,2
à,2,1,64,2
aboyer,2,1,64,2
et,2,1,64,2
Honorine,2,1,64,2
se,2,1,64,2
dirigeait,2,1,64,2
vers,2,1,64,2
la,2,1,64,2
porte,2,1,64,2
lorsque,2,1,64,2
Cécile,2,1,64,2
que,2,1,64,2
la,2,1,64,2
chaleur,2,1,64,2
et,2,1,64,2
la,2,1,64,2
nourriture,2,1,64,2
étouffaient,2,1,64,2
quitta,2,1,64,2
la,2,1,64,2
table,2,1,64,2
Non,2,1,65,1
laisse,2,1,65,1
ça,2,1,65,1
doit,2,1,65,1
être,2,1,65,1
pour,2,1,65,1
ma,2,1,65,1
leçon,2,1,65,1
Deneulin,2,1,66,1
lui,2,1,66,1
aussi,2,1,66,1
s'était,2,1,66,1
levé,2,1,66,1
Il,2,1,66,2
regarda,2,1,66,2
sortir,2,1,66,2
la,2,1,66,2
jeune,2,1,66,2
fille,2,1,66,2
il,2,1,66,2
demanda,2,1,66,2
en,2,1,66,2
souriant,2,1,66,2
Eh,2,1,67,1
bien,2,1,67,1
et,2,1,67,2
ce,2,1,67,2
mariage,2,1,67,2
avec,2,1,67,2
le,2,1,67,2
petit,2,1,67,2
Négrel,2,1,67,2
Il,2,1,68,1
n'y,2,1,68,1
a,2,1,68,1
rien,2,1,68,1
de,2,1,68,1
fait,2,1,68,1
dit,2,1,68,1
Mme,2,1,68,1
Grégoire,2,1,68,1
Une,2,1,68,2
idée,2,1,68,2
en,2,1,68,2
l'air,2,1,68,2
Il,2,1,68,2
faut,2,1,68,2
réfléchir,2,1,68,2
Sans,2,1,69,1
doute,2,1,69,1
continua-t-il,2,1,69,1
avec,2,1,69,1
un,2,1,69,1
rire,2,1,69,1
de,2,1,69,1
gaillardise,2,1,69,1
Je,2,1,69,2
crois,2,1,69,2
que,2,1,69,2
le,2,1,69,2
neveu,2,1,69,2
et,2,1,69,2
la,2,1,69,2
tante,2,1,69,2
Ce,2,1,69,2
qui,2,1,69,2
me,2,1,69,2
renverse,2,1,69,2
c'est,2,1,69,2
que,2,1,69,2
ce,2,1,69,2
soit,2,1,69,2
Mme,2,1,69,2
Hennebeau,2,1,69,2
qui,2,1,69,2
se,2,1,69,2
jette,2,1,69,2
ainsi,2,1,69,2
au,2,1,69,2
cou,2,1,69,2
de,2,1,69,2
Cécile,2,1,69,2
Mais,2,1,70,1
M,2,1,70,1
Grégoire,2,1,70,1
s'indigna,2,1,70,1
Une,2,1,70,2
dame,2,1,70,2
si,2,1,70,2
distinguée,2,1,70,2
et,2,1,70,2
de,2,1,70,2
quatorze,2,1,70,2
ans,2,1,70,2
plus,2,1,70,2
âgée,2,1,70,2
que,2,1,70,2
le,2,1,70,2
jeune,2,1,70,2
homme,2,1,70,2
C'était,2,1,70,3
monstrueux,2,1,70,3
il,2,1,70,3
n'aimait,2,1,70,3
pas,2,1,70,3
qu'on,2,1,70,3
plaisantât,2,1,70,3
sur,2,1,70,3
des,2,1,70,3
sujets,2,1,70,3
pareils,2,1,70,3
Deneulin,2,1,70,4
riant,2,1,70,4
toujours,2,1,70,4
lui,2,1,70,4
serra,2,1,70,4
la,2,1,70,4
main,2,1,70,4
et,2,1,70,4
partit,2,1,70,4
Ce,2,1,71,1
n'est,2,1,71,1
pas,2,1,71,1
encore,2,1,71,1
ça,2,1,71,1
dit,2,1,71,1
Cécile,2,1,71,1
qui,2,1,71,1
revenait,2,1,71,1
C'est,2,1,71,2
cette,2,1,71,2
femme,2,1,71,2
avec,2,1,71,2
ses,2,1,71,2
deux,2,1,71,2
enfants,2,1,71,2
tu,2,1,71,2
sais,2,1,71,2
maman,2,1,71,2
la,2,1,71,2
femme,2,1,71,2
de,2,1,71,2
mineur,2,1,71,2
que,2,1,71,2
nous,2,1,71,2
avons,2,1,71,2
rencontrée,2,1,71,2
Faut-il,2,1,71,2
les,2,1,71,2
faire,2,1,71,2
entrer,2,1,71,2
ici,2,1,71,2
On,2,1,72,1
hésita,2,1,72,1
Etaient-ils,2,1,72,2
très,2,1,72,2
sales,2,1,72,2
Non,2,1,72,3
pas,2,1,72,3
trop,2,1,72,3
et,2,1,72,3
ils,2,1,72,3
laisseraient,2,1,72,3
leurs,2,1,72,3
sabots,2,1,72,3
sur,2,1,72,3
le,2,1,72,3
perron,2,1,72,3
Déjà,2,1,72,4
le,2,1,72,4
père,2,1,72,4
et,2,1,72,4
la,2,1,72,4
mère,2,1,72,4
s'étaient,2,1,72,4
allongés,2,1,72,4
au,2,1,72,4
fond,2,1,72,4
des,2,1,72,4
grands,2,1,72,4
fauteuils,2,1,72,4
Ils,2,1,72,5
y,2,1,72,5
digéraient,2,1,72,5
La,2,1,72,6
crainte,2,1,72,6
de,2,1,72,6
changer,2,1,72,6
d'air,2,1,72,6
acheva,2,1,72,6
de,2,1,72,6
les,2,1,72,6
décider,2,1,72,6
Faites,2,1,73,1
entrer,2,1,73,1
Honorine,2,1,73,1
Alors,2,1,74,1
la,2,1,74,1
Maheude,2,1,74,1
et,2,1,74,1
ses,2,1,74,1
petits,2,1,74,1
entrèrent,2,1,74,1
glacés,2,1,74,1
affamés,2,1,74,1
saisis,2,1,74,1
d'un,2,1,74,1
effarement,2,1,74,1
peureux,2,1,74,1
en,2,1,74,1
se,2,1,74,1
voyant,2,1,74,1
dans,2,1,74,1
cette,2,1,74,1
salle,2,1,74,1
où,2,1,74,1
il,2,1,74,1
faisait,2,1,74,1
si,2,1,74,1
chaud,2,1,74,1
et,2,1,74,1
qui,2,1,74,1
sentait,2,1,74,1
si,2,1,74,1
bon,2,1,74,1
la,2,1,74,1
brioche,2,1,74,1
Dans,2,2,1,1
la,2,2,1,1
chambre,2,2,1,1
restée,2,2,1,1
close,2,2,1,1
les,2,2,1,1
persiennes,2,2,1,1
avaient,2,2,1,1
laissé,2,2,1,1
glisser,2,2,1,1
peu,2,2,1,1
à,2,2,1,1
peu,2,2,1,1
des,2,2,1,1
barres,2,2,1,1
grises,2,2,1,1
de,2,2,1,1
jour,2,2,1,1
dont,2,2,1,1
l'éventail,2,2,1,1
se,2,2,1,1
déployait,2,2,1,1
au,2,2,1,1
plafond,2,2,1,1
et,2,2,1,1
l'air,2,2,1,1
enfermé,2,2,1,1
s'alourdissait,2,2,1,1
tous,2,2,1,1
continuaient,2,2,1,1
leur,2,2,1,1
somme,2,2,1,1
de,2,2,1,1
la,2,2,1,1
nuit,2,2,1,1
Lénore,2,2,1,1
et,2,2,1,1
Henri,2,2,1,1
aux,2,2,1,1
bras,2,2,1,1
l'un,2,2,1,1
de,2,2,1,1
l'autre,2,2,1,1
Alzire,2,2,1,1
la,2,2,1,1
tête,2,2,1,1
renversée,2,2,1,1
appuyée,2,2,1,1
sur,2,2,1,1
sa,2,2,1,1
bosse,2,2,1,1
tandis,2,2,1,1
que,2,2,1,1
le,2,2,1,1
père,2,2,1,1
Bonnemort,2,2,1,1
tenant,2,2,1,1
à,2,2,1,1
lui,2,2,1,1
seul,2,2,1,1
le,2,2,1,1
lit,2,2,1,1
de,2,2,1,1
Zacharie,2,2,1,1
et,2,2,1,1
de,2,2,1,1
Jeanlin,2,2,1,1
ronflait,2,2,1,1
la,2,2,1,1
bouche,2,2,1,1
ouverte,2,2,1,1
Pas,2,2,1,2
un,2,2,1,2
souffle,2,2,1,2
ne,2,2,1,2
venait,2,2,1,2
du,2,2,1,2
cabinet,2,2,1,2
où,2,2,1,2
la,2,2,1,2
Maheude,2,2,1,2
s'était,2,2,1,2
rendormie,2,2,1,2
en,2,2,1,2
faisant,2,2,1,2
téter,2,2,1,2
Estelle,2,2,1,2
la,2,2,1,2
gorge,2,2,1,2
coulée,2,2,1,2
de,2,2,1,2
côté,2,2,1,2
sa,2,2,1,2
fille,2,2,1,2
en,2,2,1,2
travers,2,2,1,2
du,2,2,1,2
ventre,2,2,1,2
gorgée,2,2,1,2
de,2,2,1,2
lait,2,2,1,2
assommée,2,2,1,2
elle,2,2,1,2
aussi,2,2,1,2
et,2,2,1,2
s'étouffant,2,2,1,2
dans,2,2,1,2
la,2,2,1,2
chair,2,2,1,2
molle,2,2,1,2
des,2,2,1,2
seins,2,2,1,2
Le,2,2,2,1
coucou,2,2,2,1
en,2,2,2,1
bas,2,2,2,1
sonna,2,2,2,1
six,2,2,2,1
heures,2,2,2,1
On,2,2,2,2
entendit,2,2,2,2
le,2,2,2,2
long,2,2,2,2
des,2,2,2,2
façades,2,2,2,2
du,2,2,2,2
coron,2,2,2,2
des,2,2,2,2
bruits,2,2,2,2
de,2,2,2,2
portes,2,2,2,2
puis,2,2,2,2
des,2,2,2,2
claquements,2,2,2,2
de,2,2,2,2
sabots,2,2,2,2
sur,2,2,2,2
le,2,2,2,2
pavé,2,2,2,2
des,2,2,2,2
trottoirs,2,2,2,2
c'étaient,2,2,2,2
les,2,2,2,2
cribleuses,2,2,2,2
qui,2,2,2,2
s'en,2,2,2,2
allaient,2,2,2,2
à,2,2,2,2
la,2,2,2,2
fosse,2,2,2,2
Et,2,2,2,3
le,2,2,2,3
silence,2,2,2,3
retomba,2,2,2,3
jusqu'à,2,2,2,3
sept,2,2,2,3
heures,2,2,2,3
Alors,2,2,2,4
des,2,2,2,4
persiennes,2,2,2,4
se,2,2,2,4
rabattirent,2,2,2,4
des,2,2,2,4
bâillements,2,2,2,4
et,2,2,2,4
des,2,2,2,4
toux,2,2,2,4
vinrent,2,2,2,4
à,2,2,2,4
travers,2,2,2,4
les,2,2,2,4
murs,2,2,2,4
Longtemps,2,2,2,5
un,2,2,2,5
moulin,2,2,2,5
à,2,2,2,5
café,2,2,2,5
grinça,2,2,2,5
sans,2,2,2,5
que,2,2,2,5
personne,2,2,2,5
s'éveillât,2,2,2,5
encore,2,2,2,5
dans,2,2,2,5
la,2,2,2,5
chambre,2,2,2,5
Mais,2,2,3,1
brusquement,2,2,3,1
un,2,2,3,1
tapage,2,2,3,1
de,2,2,3,1
gifles,2,2,3,1
et,2,2,3,1
de,2,2,3,1
hurlements,2,2,3,1
au,2,2,3,1
loin,2,2,3,1
fit,2,2,3,1
se,2,2,3,1
dresser,2,2,3,1
Alzire,2,2,3,1
Elle,2,2,3,2
eut,2,2,3,2
conscience,2,2,3,2
de,2,2,3,2
l'heure,2,2,3,2
elle,2,2,3,2
courut,2,2,3,2
pieds,2,2,3,2
nus,2,2,3,2
secouer,2,2,3,2
sa,2,2,3,2
mère,2,2,3,2
Maman,2,2,4,1
maman,2,2,4,2
il,2,2,4,3
est,2,2,4,3
tard,2,2,4,3
Toi,2,2,4,4
qui,2,2,4,4
as,2,2,4,4
une,2,2,4,4
course,2,2,4,4
Prends,2,2,4,4
garde,2,2,4,4
tu,2,2,4,5
vas,2,2,4,5
écraser,2,2,4,5
Estelle,2,2,4,5
Et,2,2,5,1
elle,2,2,5,1
sauva,2,2,5,1
l'enfant,2,2,5,1
à,2,2,5,1
demi,2,2,5,1
étouffée,2,2,5,1
sous,2,2,5,1
la,2,2,5,1
coulée,2,2,5,1
énorme,2,2,5,1
des,2,2,5,1
seins,2,2,5,1
Sacré,2,2,6,1
bon,2,2,6,1
sort,2,2,6,1
bégayait,2,2,6,2
la,2,2,6,2
Maheude,2,2,6,2
en,2,2,6,2
se,2,2,6,2
frottant,2,2,6,2
les,2,2,6,2
yeux,2,2,6,2
on,2,2,6,2
est,2,2,6,2
si,2,2,6,2
échiné,2,2,6,2
qu'on,2,2,6,2
dormirait,2,2,6,2
tout,2,2,6,2
le,2,2,6,2
jour,2,2,6,2
Habille,2,2,6,2
Lénore,2,2,6,2
et,2,2,6,2
Henri,2,2,6,2
je,2,2,6,2
les,2,2,6,2
emmène,2,2,6,2
et,2,2,6,2
tu,2,2,6,2
garderas,2,2,6,2
Estelle,2,2,6,2
je,2,2,6,2
ne,2,2,6,2
veux,2,2,6,2
pas,2,2,6,2
la,2,2,6,2
traîner,2,2,6,2
crainte,2,2,6,2
quelle,2,2,6,2
ne,2,2,6,2
prenne,2,2,6,2
du,2,2,6,2
mal,2,2,6,2
par,2,2,6,2
ce,2,2,6,2
temps,2,2,6,2
de,2,2,6,2
chien,2,2,6,2
Elle,2,2,7,1
se,2,2,7,1
lavait,2,2,7,1
à,2,2,7,1
la,2,2,7,1
hâte,2,2,7,1
elle,2,2,7,1
passa,2,2,7,1
un,2,2,7,1
vieux,2,2,7,1
jupon,2,2,7,1
bleu,2,2,7,1
son,2,2,7,1
plus,2,2,7,1
propre,2,2,7,1
et,2,2,7,1
un,2,2,7,1
caraco,2,2,7,1
de,2,2,7,1
laine,2,2,7,1
grise,2,2,7,1
auquel,2,2,7,1
elle,2,2,7,1
avait,2,2,7,1
posé,2,2,7,1
deux,2,2,7,1
pièces,2,2,7,1
la,2,2,7,1
veille,2,2,7,1
Et,2,2,8,1
de,2,2,8,1
la,2,2,8,1
soupe,2,2,8,1
sacré,2,2,8,1
bon,2,2,8,1
sort,2,2,8,1
murmura-t-elle,2,2,8,2
de,2,2,8,2
nouveau,2,2,8,2
Pendant,2,2,9,1
que,2,2,9,1
sa,2,2,9,1
mère,2,2,9,1
descendait,2,2,9,1
bousculant,2,2,9,1
tout,2,2,9,1
Alzire,2,2,9,1
retourna,2,2,9,1
dans,2,2,9,1
la,2,2,9,1
chambre,2,2,9,1
ou,2,2,9,1
elle,2,2,9,1
emporta,2,2,9,1
Estelle,2,2,9,1
qui,2,2,9,1
s'était,2,2,9,1
mise,2,2,9,1
à,2,2,9,1
hurler,2,2,9,1
Mais,2,2,9,2
elle,2,2,9,2
était,2,2,9,2
habituée,2,2,9,2
aux,2,2,9,2
rages,2,2,9,2
de,2,2,9,2
la,2,2,9,2
petite,2,2,9,2
elle,2,2,9,2
avait,2,2,9,2
à,2,2,9,2
huit,2,2,9,2
ans,2,2,9,2
des,2,2,9,2
ruses,2,2,9,2
tendres,2,2,9,2
de,2,2,9,2
femme,2,2,9,2
pour,2,2,9,2
la,2,2,9,2
calmer,2,2,9,2
et,2,2,9,2
la,2,2,9,2
distraire,2,2,9,2
Doucement,2,2,9,3
elle,2,2,9,3
la,2,2,9,3
coucha,2,2,9,3
dans,2,2,9,3
son,2,2,9,3
lit,2,2,9,3
encore,2,2,9,3
chaud,2,2,9,3
elle,2,2,9,3
la,2,2,9,3
rendormit,2,2,9,3
en,2,2,9,3
lui,2,2,9,3
donnant,2,2,9,3
à,2,2,9,3
sucer,2,2,9,3
un,2,2,9,3
doigt,2,2,9,3
Il,2,2,9,4
était,2,2,9,4
temps,2,2,9,4
car,2,2,9,4
un,2,2,9,4
autre,2,2,9,4
vacarme,2,2,9,4
éclatait,2,2,9,4
et,2,2,9,4
elle,2,2,9,4
dut,2,2,9,4
mettre,2,2,9,4
aussitôt,2,2,9,4
la,2,2,9,4
paix,2,2,9,4
entre,2,2,9,4
Lénore,2,2,9,4
et,2,2,9,4
Henri,2,2,9,4
qui,2,2,9,4
s'éveillaient,2,2,9,4
enfin,2,2,9,4
Ces,2,2,9,5
enfants,2,2,9,5
ne,2,2,9,5
s'entendaient,2,2,9,5
guère,2,2,9,5
ne,2,2,9,5
se,2,2,9,5
prenaient,2,2,9,5
gentiment,2,2,9,5
au,2,2,9,5
cou,2,2,9,5
que,2,2,9,5
lorsqu'ils,2,2,9,5
dormaient,2,2,9,5
La,2,2,9,6
fille,2,2,9,6
âgée,2,2,9,6
de,2,2,9,6
six,2,2,9,6
ans,2,2,9,6
tombait,2,2,9,6
dès,2,2,9,6
son,2,2,9,6
lever,2,2,9,6
sur,2,2,9,6
le,2,2,9,6
garçon,2,2,9,6
son,2,2,9,6
cadet,2,2,9,6
de,2,2,9,6
deux,2,2,9,6
années,2,2,9,6
qui,2,2,9,6
recevait,2,2,9,6
les,2,2,9,6
gifles,2,2,9,6
sans,2,2,9,6
les,2,2,9,6
rendre,2,2,9,6
Tous,2,2,9,7
deux,2,2,9,7
avaient,2,2,9,7
la,2,2,9,7
même,2,2,9,7
tête,2,2,9,7
trop,2,2,9,7
grosse,2,2,9,7
et,2,2,9,7
comme,2,2,9,7
soufflée,2,2,9,7
ébouriffée,2,2,9,7
de,2,2,9,7
cheveux,2,2,9,7
jaunes,2,2,9,7
Il,2,2,9,8
fallut,2,2,9,8
qu'Alzire,2,2,9,8
tirât,2,2,9,8
sa,2,2,9,8
soeur,2,2,9,8
par,2,2,9,8
les,2,2,9,8
jambes,2,2,9,8
en,2,2,9,8
la,2,2,9,8
menaçant,2,2,9,8
de,2,2,9,8
lui,2,2,9,8
enlever,2,2,9,8
la,2,2,9,8
peau,2,2,9,8
du,2,2,9,8
derrière,2,2,9,8
Puis,2,2,9,9
ce,2,2,9,9
furent,2,2,9,9
des,2,2,9,9
trépignements,2,2,9,9
pour,2,2,9,9
le,2,2,9,9
débarbouillage,2,2,9,9
et,2,2,9,9
à,2,2,9,9
chaque,2,2,9,9
vêtement,2,2,9,9
qu'elle,2,2,9,9
leur,2,2,9,9
passait,2,2,9,9
On,2,2,9,10
évitait,2,2,9,10
d'ouvrir,2,2,9,10
les,2,2,9,10
persiennes,2,2,9,10
afin,2,2,9,10
de,2,2,9,10
ne,2,2,9,10
pas,2,2,9,10
troubler,2,2,9,10
le,2,2,9,10
sommeil,2,2,9,10
du,2,2,9,10
père,2,2,9,10
Bonnemort,2,2,9,10
Il,2,2,9,11
continuait,2,2,9,11
à,2,2,9,11
ronfler,2,2,9,11
dans,2,2,9,11
l'affreux,2,2,9,11
charivari,2,2,9,11
des,2,2,9,11
enfants,2,2,9,11
C'est,2,2,10,1
prêt,2,2,10,1
y,2,2,10,2
êtes-vous,2,2,10,2
là-haut,2,2,10,2
cria,2,2,10,3
la,2,2,10,3
Maheude,2,2,10,3
Elle,2,2,11,1
avait,2,2,11,1
rabattu,2,2,11,1
les,2,2,11,1
volets,2,2,11,1
secoué,2,2,11,1
le,2,2,11,1
feu,2,2,11,1
remis,2,2,11,1
du,2,2,11,1
charbon,2,2,11,1
Son,2,2,11,2
espoir,2,2,11,2
était,2,2,11,2
que,2,2,11,2
le,2,2,11,2
vieux,2,2,11,2
n'eût,2,2,11,2
pas,2,2,11,2
englouti,2,2,11,2
toute,2,2,11,2
la,2,2,11,2
soupe,2,2,11,2
Mais,2,2,11,3
elle,2,2,11,3
trouva,2,2,11,3
le,2,2,11,3
poêlon,2,2,11,3
torché,2,2,11,3
elle,2,2,11,3
fit,2,2,11,3
cuire,2,2,11,3
une,2,2,11,3
poignée,2,2,11,3
de,2,2,11,3
vermicelle,2,2,11,3
qu'elle,2,2,11,3
tenait,2,2,11,3
en,2,2,11,3
réserve,2,2,11,3
depuis,2,2,11,3
trois,2,2,11,3
jours,2,2,11,3
On,2,2,11,4
l'avalerait,2,2,11,4
à,2,2,11,4
l'eau,2,2,11,4
sans,2,2,11,4
beurre,2,2,11,4
il,2,2,11,4
ne,2,2,11,4
devait,2,2,11,4
rien,2,2,11,4
rester,2,2,11,4
de,2,2,11,4
la,2,2,11,4
lichette,2,2,11,4
de,2,2,11,4
la,2,2,11,4
veille,2,2,11,4
et,2,2,11,4
elle,2,2,11,4
fut,2,2,11,4
surprise,2,2,11,4
de,2,2,11,4
voir,2,2,11,4
que,2,2,11,4
Catherine,2,2,11,4
en,2,2,11,4
préparant,2,2,11,4
les,2,2,11,4
briquets,2,2,11,4
avait,2,2,11,4
fait,2,2,11,4
le,2,2,11,4
miracle,2,2,11,4
d'en,2,2,11,4
laisser,2,2,11,4
gros,2,2,11,4
comme,2,2,11,4
une,2,2,11,4
noix,2,2,11,4
Seulement,2,2,11,5
cette,2,2,11,5
fois,2,2,11,5
le,2,2,11,5
buffet,2,2,11,5
était,2,2,11,5
bien,2,2,11,5
vide,2,2,11,5
rien,2,2,11,5
pas,2,2,11,5
une,2,2,11,5
croûte,2,2,11,5
pas,2,2,11,5
un,2,2,11,5
fond,2,2,11,5
de,2,2,11,5
provision,2,2,11,5
pas,2,2,11,5
un,2,2,11,5
os,2,2,11,5
à,2,2,11,5
ronger,2,2,11,5
Qu'allaient-ils,2,2,11,6
devenir,2,2,11,6
si,2,2,11,6
Maigrat,2,2,11,6
s'entêtait,2,2,11,6
à,2,2,11,6
leur,2,2,11,6
couper,2,2,11,6
le,2,2,11,6
crédit,2,2,11,6
et,2,2,11,6
si,2,2,11,6
les,2,2,11,6
bourgeois,2,2,11,6
de,2,2,11,6
la,2,2,11,6
Piolaine,2,2,11,6
ne,2,2,11,6
lui,2,2,11,6
donnaient,2,2,11,6
pas,2,2,11,6
cent,2,2,11,6
sous,2,2,11,6
Quand,2,2,11,7
les,2,2,11,7
hommes,2,2,11,7
et,2,2,11,7
la,2,2,11,7
fille,2,2,11,7
reviendraient,2,2,11,7
de,2,2,11,7
la,2,2,11,7
fosse,2,2,11,7
il,2,2,11,7
faudrait,2,2,11,7
pourtant,2,2,11,7
manger,2,2,11,7
car,2,2,11,7
on,2,2,11,7
n'avait,2,2,11,7
pas,2,2,11,7
encore,2,2,11,7
inventé,2,2,11,7
de,2,2,11,7
vivre,2,2,11,7
sans,2,2,11,7
manger,2,2,11,7
malheureusement,2,2,11,7
Descendez-vous,2,2,12,1
à,2,2,12,1
la,2,2,12,1
fin,2,2,12,1
cria-t-elle,2,2,12,2
en,2,2,12,2
se,2,2,12,2
fâchant,2,2,12,2
Je,2,2,12,3
devrais,2,2,12,3
être,2,2,12,3
partie,2,2,12,3
Lorsque,2,2,13,1
Alzire,2,2,13,1
et,2,2,13,1
les,2,2,13,1
enfants,2,2,13,1
furent,2,2,13,1
là,2,2,13,1
elle,2,2,13,1
partagea,2,2,13,1
le,2,2,13,1
vermicelle,2,2,13,1
dans,2,2,13,1
trois,2,2,13,1
petites,2,2,13,1
assiettes,2,2,13,1
Elle,2,2,13,2
disait-elle,2,2,13,2
n'avait,2,2,13,2
pas,2,2,13,2
faim,2,2,13,2
Bien,2,2,13,3
que,2,2,13,3
Catherine,2,2,13,3
eût,2,2,13,3
déjà,2,2,13,3
passé,2,2,13,3
de,2,2,13,3
l'eau,2,2,13,3
sur,2,2,13,3
le,2,2,13,3
marc,2,2,13,3
de,2,2,13,3
la,2,2,13,3
veille,2,2,13,3
elle,2,2,13,3
en,2,2,13,3
remit,2,2,13,3
une,2,2,13,3
seconde,2,2,13,3
fois,2,2,13,3
et,2,2,13,3
avala,2,2,13,3
deux,2,2,13,3
grandes,2,2,13,3
chopes,2,2,13,3
d'un,2,2,13,3
café,2,2,13,3
tellement,2,2,13,3
clair,2,2,13,3
qu'il,2,2,13,3
ressemblait,2,2,13,3
à,2,2,13,3
de,2,2,13,3
l'eau,2,2,13,3
de,2,2,13,3
rouille,2,2,13,3
Ça,2,2,13,4
la,2,2,13,4
soutiendrait,2,2,13,4
tout,2,2,13,4
de,2,2,13,4
même,2,2,13,4
Ecoute,2,2,14,1
répétait-elle,2,2,14,1
à,2,2,14,1
Alzire,2,2,14,1
tu,2,2,14,1
laisseras,2,2,14,1
dormir,2,2,14,1
ton,2,2,14,1
grand-père,2,2,14,1
tu,2,2,14,1
veilleras,2,2,14,1
bien,2,2,14,1
à,2,2,14,1
ce,2,2,14,1
que,2,2,14,1
Estelle,2,2,14,1
ne,2,2,14,1
se,2,2,14,1
casse,2,2,14,1
pas,2,2,14,1
la,2,2,14,1
tête,2,2,14,1
et,2,2,14,1
si,2,2,14,1
elle,2,2,14,1
se,2,2,14,1
réveillait,2,2,14,1
si,2,2,14,1
elle,2,2,14,1
gueulait,2,2,14,1
trop,2,2,14,1
tiens,2,2,14,1
voici,2,2,14,2
un,2,2,14,2
morceau,2,2,14,2
de,2,2,14,2
sucre,2,2,14,2
tu,2,2,14,2
le,2,2,14,2
ferais,2,2,14,2
fondre,2,2,14,2
tu,2,2,14,2
lui,2,2,14,2
en,2,2,14,2
donnerais,2,2,14,2
des,2,2,14,2
cuillerées,2,2,14,2
Je,2,2,14,2
sais,2,2,14,2
que,2,2,14,2
tu,2,2,14,2
es,2,2,14,2
raisonnable,2,2,14,2
que,2,2,14,2
tu,2,2,14,2
ne,2,2,14,2
le,2,2,14,2
mangeras,2,2,14,2
pas,2,2,14,2
Et,2,2,15,1
l'école,2,2,15,1
maman,2,2,15,1
L'école,2,2,16,1
eh,2,2,16,1
bien,2,2,16,1
ce,2,2,16,2
sera,2,2,16,2
pour,2,2,16,2
un,2,2,16,2
autre,2,2,16,2
jour,2,2,16,2
J'ai,2,2,16,2
besoin,2,2,16,2
de,2,2,16,2
toi,2,2,16,2
Et,2,2,17,1
la,2,2,17,1
soupe,2,2,17,1
veux-tu,2,2,17,1
que,2,2,17,1
je,2,2,17,1
la,2,2,17,1
fasse,2,2,17,1
si,2,2,17,1
tu,2,2,17,1
rentres,2,2,17,1
tard,2,2,17,1
La,2,2,18,1
soupe,2,2,18,1
la,2,2,18,1
soupe,2,2,18,1
Non,2,2,18,2
attends-moi,2,2,18,2
Alzire,2,2,19,1
d'une,2,2,19,1
intelligence,2,2,19,1
précoce,2,2,19,1
de,2,2,19,1
fillette,2,2,19,1
infirme,2,2,19,1
savait,2,2,19,1
très,2,2,19,1
bien,2,2,19,1
faire,2,2,19,1
la,2,2,19,1
soupe,2,2,19,1
Elle,2,2,19,2
dut,2,2,19,2
comprendre,2,2,19,2
n'insista,2,2,19,2
point,2,2,19,2
Maintenant,2,2,19,3
le,2,2,19,3
coron,2,2,19,3
entier,2,2,19,3
était,2,2,19,3
réveillé,2,2,19,3
des,2,2,19,3
bandes,2,2,19,3
d'enfants,2,2,19,3
s'en,2,2,19,3
allaient,2,2,19,3
à,2,2,19,3
l'école,2,2,19,3
avec,2,2,19,3
le,2,2,19,3
bruit,2,2,19,3
traînard,2,2,19,3
de,2,2,19,3
leurs,2,2,19,3
galoches,2,2,19,3
